RESTAURANT NAME,COUNTRY,CITY,DAYS OF WEEK,START TIME(HOUR),START TIME(MINUTE),END TIME(HOUR),END TIME(MINUTE)
Bella Vista Restaurant,AU,Belconnen,2,17,30,21,00
Bella Vista Restaurant,AU,Belconnen,3,12,00,14,00
Bella Vista Restaurant,AU,Belconnen,3,17,30,21,00
Bella Vista Restaurant,AU,Belconnen,4,12,00,14,00
Bella Vista Restaurant,AU,Belconnen,4,17,30,21,00
Bella Vista Restaurant,AU,Belconnen,5,17,30,21,00
Chatterbox Espresso Bar,AU,Belconnen,0,06,30,16,00
Chatterbox Espresso Bar,AU,Belconnen,1,06,30,16,00
Chatterbox Espresso Bar,AU,Belconnen,2,06,30,16,00
Chatterbox Espresso Bar,AU,Belconnen,3,06,30,16,00
Chatterbox Espresso Bar,AU,Belconnen,4,06,30,16,00
Chatterbox Espresso Bar,AU,Belconnen,5,08,00,13,30
Chatterbox Espresso Bar,AU,Belconnen,6,08,00,13,30
Crust Pizza,AU,Belconnen,0,16,00,21,30
Crust Pizza,AU,Belconnen,1,16,00,21,30
Crust Pizza,AU,Belconnen,2,16,00,21,30
Crust Pizza,AU,Belconnen,3,16,00,22,00
Crust Pizza,AU,Belconnen,4,16,00,22,00
Crust Pizza,AU,Belconnen,5,16,00,22,00
Crust Pizza,AU,Belconnen,6,16,00,22,00
Malaysian Chapter,AU,Belconnen,0,17,30,21,00
Malaysian Chapter,AU,Belconnen,1,12,00,14,00
Malaysian Chapter,AU,Belconnen,1,17,30,21,00
Malaysian Chapter,AU,Belconnen,2,12,00,14,00
Malaysian Chapter,AU,Belconnen,2,17,30,21,00
Malaysian Chapter,AU,Belconnen,3,12,00,14,00
Malaysian Chapter,AU,Belconnen,3,17,30,21,00
Malaysian Chapter,AU,Belconnen,4,12,00,14,00
Malaysian Chapter,AU,Belconnen,4,17,30,21,00
Malaysian Chapter,AU,Belconnen,5,12,00,14,00
Malaysian Chapter,AU,Belconnen,5,17,30,21,00
Outback Jack's,AU,Belconnen,0,11,00,23,00
Outback Jack's,AU,Belconnen,1,11,00,23,00
Outback Jack's,AU,Belconnen,2,11,00,23,00
Outback Jack's,AU,Belconnen,3,11,00,23,00
Outback Jack's,AU,Belconnen,4,11,00,23,00
Outback Jack's,AU,Belconnen,5,11,00,23,00
Outback Jack's,AU,Belconnen,6,11,00,23,00
Pho Hub,AU,Belconnen,2,10,00,15,00
Pho Hub,AU,Belconnen,2,17,00,22,00
Pho Hub,AU,Belconnen,3,10,00,15,30
Pho Hub,AU,Belconnen,3,17,00,22,30
Pho Hub,AU,Belconnen,5,10,00,15,30
Pho Hub,AU,Belconnen,5,17,00,22,30
Pho Hub,AU,Belconnen,6,10,00,15,00
Pho Hub,AU,Belconnen,6,17,00,22,00
Prince Palace Chinese Restaurant,AU,Belconnen,0,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,0,17,30,22,30
Prince Palace Chinese Restaurant,AU,Belconnen,1,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,1,17,30,22,30
Prince Palace Chinese Restaurant,AU,Belconnen,2,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,2,17,30,22,30
Prince Palace Chinese Restaurant,AU,Belconnen,3,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,3,17,30,22,30
Prince Palace Chinese Restaurant,AU,Belconnen,4,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,4,17,30,00,00
Prince Palace Chinese Restaurant,AU,Belconnen,5,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,5,17,30,00,00
Prince Palace Chinese Restaurant,AU,Belconnen,6,11,30,14,30
Prince Palace Chinese Restaurant,AU,Belconnen,6,17,30,22,30
Punjabi Junction,AU,Belconnen,0,11,30,14,30
Punjabi Junction,AU,Belconnen,0,17,00,22,30
Punjabi Junction,AU,Belconnen,1,11,30,14,30
Punjabi Junction,AU,Belconnen,1,17,00,22,30
Punjabi Junction,AU,Belconnen,2,11,30,14,30
Punjabi Junction,AU,Belconnen,2,17,00,22,30
Punjabi Junction,AU,Belconnen,3,11,30,14,30
Punjabi Junction,AU,Belconnen,3,17,00,22,30
Punjabi Junction,AU,Belconnen,4,11,30,14,30
Punjabi Junction,AU,Belconnen,4,17,00,22,30
Punjabi Junction,AU,Belconnen,5,17,00,22,30
Punjabi Junction,AU,Belconnen,6,17,00,22,30
Taj Agra,AU,Belconnen,0,17,30,22,00
Taj Agra,AU,Belconnen,1,12,00,14,00
Taj Agra,AU,Belconnen,1,17,30,22,00
Taj Agra,AU,Belconnen,2,12,00,14,00
Taj Agra,AU,Belconnen,2,17,30,22,00
Taj Agra,AU,Belconnen,3,12,00,14,00
Taj Agra,AU,Belconnen,3,17,30,22,00
Taj Agra,AU,Belconnen,4,12,00,14,00
Taj Agra,AU,Belconnen,4,17,30,22,00
Taj Agra,AU,Belconnen,5,17,30,22,00
Taj Agra,AU,Belconnen,6,17,30,22,00
10' Custom Pizzeria,AU,Braddon,0,11,30,15,00
10' Custom Pizzeria,AU,Braddon,0,17,30,00,00
10' Custom Pizzeria,AU,Braddon,1,11,30,15,00
10' Custom Pizzeria,AU,Braddon,1,17,30,00,00
10' Custom Pizzeria,AU,Braddon,2,11,30,15,00
10' Custom Pizzeria,AU,Braddon,2,17,30,00,00
10' Custom Pizzeria,AU,Braddon,3,11,30,15,00
10' Custom Pizzeria,AU,Braddon,3,17,30,00,00
10' Custom Pizzeria,AU,Braddon,4,11,30,15,00
10' Custom Pizzeria,AU,Braddon,4,17,30,00,00
10' Custom Pizzeria,AU,Braddon,5,11,30,15,00
10' Custom Pizzeria,AU,Braddon,5,17,30,00,00
10' Custom Pizzeria,AU,Braddon,6,11,30,15,00
10' Custom Pizzeria,AU,Braddon,6,17,30,00,00
Barrio Collective Coffee,AU,Braddon,0,07,00,14,00
Barrio Collective Coffee,AU,Braddon,1,07,00,14,00
Barrio Collective Coffee,AU,Braddon,2,07,00,14,00
Barrio Collective Coffee,AU,Braddon,3,07,00,17,00
Barrio Collective Coffee,AU,Braddon,4,07,00,17,00
Barrio Collective Coffee,AU,Braddon,5,07,00,17,00
Barrio Collective Coffee,AU,Braddon,6,07,00,14,00
Blackfire,AU,Braddon,0,08,00,23,00
Blackfire,AU,Braddon,1,08,00,23,00
Blackfire,AU,Braddon,2,08,00,23,00
Blackfire,AU,Braddon,3,08,00,23,00
Blackfire,AU,Braddon,4,08,00,23,00
Blackfire,AU,Braddon,5,08,00,23,00
Blackfire,AU,Braddon,6,08,00,23,00
Bollywood Dimensions Indian Cuisine,AU,Braddon,0,17,30,21,30
Bollywood Dimensions Indian Cuisine,AU,Braddon,1,17,30,21,30
Bollywood Dimensions Indian Cuisine,AU,Braddon,2,17,30,21,30
Bollywood Dimensions Indian Cuisine,AU,Braddon,3,17,30,21,30
Bollywood Dimensions Indian Cuisine,AU,Braddon,4,17,30,21,30
Bollywood Dimensions Indian Cuisine,AU,Braddon,5,17,30,21,30
Bollywood Dimensions Indian Cuisine,AU,Braddon,6,17,30,21,30
Burger Hero,AU,Braddon,0,11,00,15,00
Burger Hero,AU,Braddon,0,17,00,21,00
Burger Hero,AU,Braddon,1,11,00,15,00
Burger Hero,AU,Braddon,1,17,00,21,00
Burger Hero,AU,Braddon,2,11,00,15,00
Burger Hero,AU,Braddon,2,17,00,21,00
Burger Hero,AU,Braddon,3,11,00,15,00
Burger Hero,AU,Braddon,3,17,00,21,00
Burger Hero,AU,Braddon,4,11,00,15,00
Burger Hero,AU,Braddon,4,17,00,21,00
Burger Hero,AU,Braddon,5,11,00,15,00
Burger Hero,AU,Braddon,5,17,00,21,00
Cafe On 28,AU,Braddon,0,07,00,14,00
Cafe On 28,AU,Braddon,1,07,00,14,00
Cafe On 28,AU,Braddon,2,07,00,14,00
Cafe On 28,AU,Braddon,3,07,00,14,00
Cafe On 28,AU,Braddon,4,07,00,14,00
Elk & Pea,AU,Braddon,0,08,00,15,00
Elk & Pea,AU,Braddon,1,08,00,22,00
Elk & Pea,AU,Braddon,2,08,00,22,00
Elk & Pea,AU,Braddon,3,08,00,14,00
Elk & Pea,AU,Braddon,3,18,00,23,00
Elk & Pea,AU,Braddon,4,08,00,14,00
Elk & Pea,AU,Braddon,4,18,00,23,00
Elk & Pea,AU,Braddon,5,08,00,14,00
Elk & Pea,AU,Braddon,5,18,00,23,00
Elk & Pea,AU,Braddon,6,08,00,14,30
Farmers Daughter,AU,Braddon,0,07,00,15,00
Farmers Daughter,AU,Braddon,1,07,00,15,00
Farmers Daughter,AU,Braddon,2,07,00,15,00
Farmers Daughter,AU,Braddon,3,07,00,15,00
Farmers Daughter,AU,Braddon,4,07,00,15,00
Farmers Daughter,AU,Braddon,5,08,00,14,00
Farmers Daughter,AU,Braddon,6,08,00,14,00
Lonsdale Street Roasters Eatery,AU,Braddon,0,07,00,15,00
Lonsdale Street Roasters Eatery,AU,Braddon,1,07,00,15,00
Lonsdale Street Roasters Eatery,AU,Braddon,2,07,00,15,00
Lonsdale Street Roasters Eatery,AU,Braddon,3,07,00,15,00
Lonsdale Street Roasters Eatery,AU,Braddon,4,07,00,15,00
Lonsdale Street Roasters Eatery,AU,Braddon,5,08,00,16,00
Lonsdale Street Roasters Eatery,AU,Braddon,6,08,00,16,00
Lonsdale Street Roasters,AU,Braddon,0,06,00,17,00
Lonsdale Street Roasters,AU,Braddon,1,06,00,17,00
Lonsdale Street Roasters,AU,Braddon,2,06,00,17,00
Lonsdale Street Roasters,AU,Braddon,3,06,00,17,00
Lonsdale Street Roasters,AU,Braddon,4,06,00,17,00
Lonsdale Street Roasters,AU,Braddon,5,06,30,15,00
McDonald's,AU,Braddon,0,00,00,00,00
McDonald's,AU,Braddon,1,00,00,00,00
McDonald's,AU,Braddon,2,00,00,00,00
McDonald's,AU,Braddon,3,00,00,00,00
McDonald's,AU,Braddon,4,00,00,00,00
McDonald's,AU,Braddon,5,00,00,00,00
McDonald's,AU,Braddon,6,00,00,00,00
Pita Pit Braddon,AU,Braddon,0,08,30,21,00
Pita Pit Braddon,AU,Braddon,1,08,30,21,00
Pita Pit Braddon,AU,Braddon,2,08,30,21,00
Pita Pit Braddon,AU,Braddon,3,08,30,21,00
Pita Pit Braddon,AU,Braddon,4,08,30,21,00
Pita Pit Braddon,AU,Braddon,5,09,00,20,00
Pita Pit Braddon,AU,Braddon,6,11,00,16,00
Pizza Gusto,AU,Braddon,1,17,30,21,00
Pizza Gusto,AU,Braddon,2,17,30,21,00
Pizza Gusto,AU,Braddon,3,17,30,21,00
Pizza Gusto,AU,Braddon,4,17,30,21,00
Pizza Gusto,AU,Braddon,5,17,30,21,00
Pizza Gusto,AU,Braddon,6,17,30,21,00
RYE Cafe and Bar,AU,Braddon,0,06,30,16,00
RYE Cafe and Bar,AU,Braddon,1,06,30,16,00
RYE Cafe and Bar,AU,Braddon,2,06,30,00,00
RYE Cafe and Bar,AU,Braddon,3,06,30,00,00
RYE Cafe and Bar,AU,Braddon,4,06,30,00,00
RYE Cafe and Bar,AU,Braddon,5,06,30,00,00
RYE Cafe and Bar,AU,Braddon,6,06,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,0,07,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,1,07,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,2,07,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,3,07,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,4,07,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,5,07,30,16,00
Sweet Bones Bakery Cafe,AU,Braddon,6,08,30,15,00
Eighty/twenty Food,AU,Braddon,0,06,00,16,00
Eighty/twenty Food,AU,Braddon,1,06,00,16,00
Eighty/twenty Food,AU,Braddon,2,06,00,16,00
Eighty/twenty Food,AU,Braddon,3,06,00,16,00
Eighty/twenty Food,AU,Braddon,4,06,00,16,00
Eighty/twenty Food,AU,Braddon,5,06,00,16,00
Eighty/twenty Food,AU,Braddon,6,07,00,16,00
127 Bar and Bistro,AU,Brisbane,0,06,30,21,00
127 Bar and Bistro,AU,Brisbane,1,06,30,21,00
127 Bar and Bistro,AU,Brisbane,2,06,30,21,00
127 Bar and Bistro,AU,Brisbane,3,06,30,21,00
127 Bar and Bistro,AU,Brisbane,4,06,30,21,00
127 Bar and Bistro,AU,Brisbane,5,07,00,11,00
127 Bar and Bistro,AU,Brisbane,5,15,00,21,00
127 Bar and Bistro,AU,Brisbane,6,07,00,11,00
5 Boroughs,AU,Brisbane,0,11,00,21,00
5 Boroughs,AU,Brisbane,1,11,00,21,00
5 Boroughs,AU,Brisbane,2,11,00,21,00
5 Boroughs,AU,Brisbane,3,11,00,21,00
5 Boroughs,AU,Brisbane,4,11,00,22,00
5 Boroughs,AU,Brisbane,5,11,00,22,00
5 Boroughs,AU,Brisbane,6,11,00,21,00
Aamaya Indian Restaurant,AU,Brisbane,0,11,00,21,30
Aamaya Indian Restaurant,AU,Brisbane,1,11,00,14,30
Aamaya Indian Restaurant,AU,Brisbane,1,17,00,21,30
Aamaya Indian Restaurant,AU,Brisbane,2,11,00,14,30
Aamaya Indian Restaurant,AU,Brisbane,2,17,00,21,30
Aamaya Indian Restaurant,AU,Brisbane,3,11,00,14,30
Aamaya Indian Restaurant,AU,Brisbane,3,17,00,21,30
Aamaya Indian Restaurant,AU,Brisbane,4,11,00,14,30
Aamaya Indian Restaurant,AU,Brisbane,4,17,00,21,30
Aamaya Indian Restaurant,AU,Brisbane,5,11,00,21,30
Aamaya Indian Restaurant,AU,Brisbane,6,11,00,21,30
AJ Vietnamese Noodle House,AU,Brisbane,0,11,00,21,00
AJ Vietnamese Noodle House,AU,Brisbane,1,11,00,21,00
AJ Vietnamese Noodle House,AU,Brisbane,2,11,00,21,00
AJ Vietnamese Noodle House,AU,Brisbane,3,11,00,21,00
AJ Vietnamese Noodle House,AU,Brisbane,4,11,00,21,00
AJ Vietnamese Noodle House,AU,Brisbane,5,11,00,21,00
Aromas Regent,AU,Brisbane,0,07,00,18,00
Aromas Regent,AU,Brisbane,1,07,00,18,00
Aromas Regent,AU,Brisbane,2,07,00,18,00
Aromas Regent,AU,Brisbane,3,07,00,18,00
Aromas Regent,AU,Brisbane,4,07,00,20,30
Aromas Regent,AU,Brisbane,5,09,00,18,00
Aromas Regent,AU,Brisbane,6,10,00,16,00
Asana by Pete Evans Cafe,AU,Brisbane,0,06,30,18,00
Asana by Pete Evans Cafe,AU,Brisbane,1,06,30,18,00
Asana by Pete Evans Cafe,AU,Brisbane,2,06,30,18,00
Asana by Pete Evans Cafe,AU,Brisbane,3,06,30,18,00
Asana by Pete Evans Cafe,AU,Brisbane,4,06,30,18,00
Asana by Pete Evans Cafe,AU,Brisbane,5,06,30,18,00
Asana by Pete Evans Cafe,AU,Brisbane,6,06,30,18,00
Atticus Finch,AU,Brisbane,0,06,30,14,00
Atticus Finch,AU,Brisbane,1,06,30,14,00
Atticus Finch,AU,Brisbane,2,06,30,14,00
Atticus Finch,AU,Brisbane,3,06,30,14,00
Atticus Finch,AU,Brisbane,4,06,30,20,00
Atticus Finch,AU,Brisbane,5,07,00,20,00
Atticus Finch,AU,Brisbane,6,06,30,14,00
Bar Pacino,AU,Brisbane,0,06,00,17,00
Bar Pacino,AU,Brisbane,1,06,00,17,00
Bar Pacino,AU,Brisbane,2,06,00,17,00
Bar Pacino,AU,Brisbane,3,06,00,22,00
Bar Pacino,AU,Brisbane,4,06,00,00,00
Bar Pacino,AU,Brisbane,5,12,00,00,00
Beach House Bar & Grill,AU,Brisbane,0,10,00,00,00
Beach House Bar & Grill,AU,Brisbane,1,10,00,00,00
Beach House Bar & Grill,AU,Brisbane,2,10,00,00,00
Beach House Bar & Grill,AU,Brisbane,3,10,00,00,00
Beach House Bar & Grill,AU,Brisbane,4,10,00,01,00
Beach House Bar & Grill,AU,Brisbane,5,10,00,01,00
Beach House Bar & Grill,AU,Brisbane,6,10,00,00,00
Bean,AU,Brisbane,0,07,00,18,00
Bean,AU,Brisbane,1,07,00,18,00
Bean,AU,Brisbane,2,07,00,18,00
Bean,AU,Brisbane,3,07,00,18,00
Bean,AU,Brisbane,4,07,00,22,00
Botero,AU,Brisbane,0,06,30,16,00
Botero,AU,Brisbane,1,06,30,16,00
Botero,AU,Brisbane,2,06,30,16,00
Botero,AU,Brisbane,3,06,30,16,00
Botero,AU,Brisbane,4,06,30,00,00
Cafe Brisbane,AU,Brisbane,0,06,00,23,30
Cafe Brisbane,AU,Brisbane,1,06,00,23,30
Cafe Brisbane,AU,Brisbane,2,06,00,23,30
Cafe Brisbane,AU,Brisbane,3,06,00,23,30
Cafe Brisbane,AU,Brisbane,4,06,00,23,30
Cafe Brisbane,AU,Brisbane,5,06,00,23,30
Cafe Brisbane,AU,Brisbane,6,06,00,23,30
Chocolateria San Churro,AU,Brisbane,0,08,00,23,00
Chocolateria San Churro,AU,Brisbane,1,08,00,23,00
Chocolateria San Churro,AU,Brisbane,2,08,00,23,00
Chocolateria San Churro,AU,Brisbane,3,08,00,23,00
Chocolateria San Churro,AU,Brisbane,4,08,00,01,00
Chocolateria San Churro,AU,Brisbane,5,09,00,01,00
Chocolateria San Churro,AU,Brisbane,6,09,00,23,00
Chow Down,AU,Brisbane,0,11,00,22,00
Chow Down,AU,Brisbane,1,11,00,22,00
Chow Down,AU,Brisbane,2,11,00,22,00
Chow Down,AU,Brisbane,3,11,00,22,00
Chow Down,AU,Brisbane,4,11,00,00,00
Chow Down,AU,Brisbane,5,11,00,00,00
Chow Down,AU,Brisbane,6,11,00,22,00
Coffee Anthology,AU,Brisbane,0,07,00,15,30
Coffee Anthology,AU,Brisbane,1,07,00,15,30
Coffee Anthology,AU,Brisbane,2,07,00,15,30
Coffee Anthology,AU,Brisbane,3,07,00,15,30
Coffee Anthology,AU,Brisbane,4,07,00,15,30
Coffee Anthology,AU,Brisbane,5,07,30,12,00
Coppa Spuntino,AU,Brisbane,0,07,00,23,30
Coppa Spuntino,AU,Brisbane,1,07,00,23,30
Coppa Spuntino,AU,Brisbane,2,07,00,23,30
Coppa Spuntino,AU,Brisbane,3,07,00,23,30
Coppa Spuntino,AU,Brisbane,4,07,00,23,30
Corbett & Claude,AU,Brisbane,0,11,30,00,00
Corbett & Claude,AU,Brisbane,1,11,30,00,00
Corbett & Claude,AU,Brisbane,2,11,30,00,00
Corbett & Claude,AU,Brisbane,3,11,30,00,00
Corbett & Claude,AU,Brisbane,4,11,30,00,00
Corbett & Claude,AU,Brisbane,5,17,00,00,00
Dosa Plaza Morningside,AU,Brisbane,0,11,00,22,00
Dosa Plaza Morningside,AU,Brisbane,1,11,00,22,00
Dosa Plaza Morningside,AU,Brisbane,2,11,00,22,00
Dosa Plaza Morningside,AU,Brisbane,3,11,00,22,00
Dosa Plaza Morningside,AU,Brisbane,4,11,00,22,00
Dosa Plaza Morningside,AU,Brisbane,5,11,00,22,00
Dosa Plaza Morningside,AU,Brisbane,6,11,00,22,00
Embassy Craft Beer Bar,AU,Brisbane,0,11,00,22,00
Embassy Craft Beer Bar,AU,Brisbane,1,11,00,22,00
Embassy Craft Beer Bar,AU,Brisbane,2,11,00,22,00
Embassy Craft Beer Bar,AU,Brisbane,3,11,00,23,00
Embassy Craft Beer Bar,AU,Brisbane,4,11,00,00,00
Embassy Craft Beer Bar,AU,Brisbane,5,11,00,00,00
Espresso Republic,AU,Brisbane,0,06,30,15,30
Espresso Republic,AU,Brisbane,1,06,30,15,30
Espresso Republic,AU,Brisbane,2,06,30,15,30
Espresso Republic,AU,Brisbane,3,06,30,15,30
Espresso Republic,AU,Brisbane,4,06,30,15,30
Fab Fish & Burger Grill,AU,Brisbane,0,11,00,23,00
Fab Fish & Burger Grill,AU,Brisbane,1,11,00,23,00
Fab Fish & Burger Grill,AU,Brisbane,2,11,00,23,00
Fab Fish & Burger Grill,AU,Brisbane,3,11,00,23,00
Fab Fish & Burger Grill,AU,Brisbane,4,11,00,23,00
Fab Fish & Burger Grill,AU,Brisbane,5,11,00,23,00
Fab Fish & Burger Grill,AU,Brisbane,6,11,00,23,00
Fat Noodle,AU,Brisbane,0,10,00,00,00
Fat Noodle,AU,Brisbane,1,10,00,00,00
Fat Noodle,AU,Brisbane,2,10,00,00,00
Fat Noodle,AU,Brisbane,3,10,00,00,00
Fat Noodle,AU,Brisbane,4,10,00,03,00
Fat Noodle,AU,Brisbane,5,10,00,03,00
Fat Noodle,AU,Brisbane,6,10,00,00,00
Felix For Goodness,AU,Brisbane,0,07,00,15,00
Felix For Goodness,AU,Brisbane,1,07,00,15,00
Felix For Goodness,AU,Brisbane,2,07,00,15,00
Felix For Goodness,AU,Brisbane,3,07,00,21,30
Felix For Goodness,AU,Brisbane,4,07,00,21,30
Felix For Goodness,AU,Brisbane,5,08,00,21,30
Fiamme Trattoria,AU,Brisbane,2,11,30,21,30
Fiamme Trattoria,AU,Brisbane,3,11,30,21,30
Fiamme Trattoria,AU,Brisbane,4,11,30,22,30
Fiamme Trattoria,AU,Brisbane,5,17,00,22,30
Fiamme Trattoria,AU,Brisbane,6,14,00,20,30
Firefly Espresso Bar Pizza,AU,Brisbane,0,06,30,17,00
Firefly Espresso Bar Pizza,AU,Brisbane,1,06,30,17,00
Firefly Espresso Bar Pizza,AU,Brisbane,2,06,30,18,00
Firefly Espresso Bar Pizza,AU,Brisbane,3,06,30,00,00
Firefly Espresso Bar Pizza,AU,Brisbane,4,06,30,00,00
Fix Restaurant & Wine Bar,AU,Brisbane,0,11,30,22,00
Fix Restaurant & Wine Bar,AU,Brisbane,1,11,30,22,00
Fix Restaurant & Wine Bar,AU,Brisbane,2,11,30,22,00
Fix Restaurant & Wine Bar,AU,Brisbane,3,11,30,22,00
Fix Restaurant & Wine Bar,AU,Brisbane,4,11,30,22,00
Fix Restaurant & Wine Bar,AU,Brisbane,5,17,30,22,00
French Martini,AU,Brisbane,0,11,00,23,00
French Martini,AU,Brisbane,1,11,00,23,00
French Martini,AU,Brisbane,2,11,00,23,00
French Martini,AU,Brisbane,3,11,00,23,00
French Martini,AU,Brisbane,4,11,00,23,00
French Martini,AU,Brisbane,5,11,00,23,00
French Martini,AU,Brisbane,6,11,00,23,00
French Twist Barracks,AU,Brisbane,0,07,00,15,00
French Twist Barracks,AU,Brisbane,1,07,00,15,00
French Twist Barracks,AU,Brisbane,2,07,00,15,00
French Twist Barracks,AU,Brisbane,3,07,00,15,00
French Twist Barracks,AU,Brisbane,4,07,00,15,00
French Twist Barracks,AU,Brisbane,5,08,00,15,00
French Twist Barracks,AU,Brisbane,6,08,00,15,00
Frisky Goat,AU,Brisbane,0,06,30,15,00
Frisky Goat,AU,Brisbane,1,06,30,15,00
Frisky Goat,AU,Brisbane,2,06,30,15,00
Frisky Goat,AU,Brisbane,3,06,30,15,00
Frisky Goat,AU,Brisbane,4,06,30,15,00
Getta Burger,AU,Brisbane,2,16,30,20,30
Getta Burger,AU,Brisbane,3,16,30,20,30
Getta Burger,AU,Brisbane,4,16,30,20,30
Getta Burger,AU,Brisbane,5,12,00,20,30
Getta Burger,AU,Brisbane,6,12,00,20,30
Grey's Cafe & Bar,AU,Brisbane,0,06,30,23,00
Grey's Cafe & Bar,AU,Brisbane,1,06,30,23,00
Grey's Cafe & Bar,AU,Brisbane,2,06,30,23,00
Grey's Cafe & Bar,AU,Brisbane,3,06,30,23,00
Grey's Cafe & Bar,AU,Brisbane,4,06,30,23,00
Grey's Cafe & Bar,AU,Brisbane,5,06,30,23,00
Grey's Cafe & Bar,AU,Brisbane,6,06,30,23,00
Grill'd - Wintergarden,AU,Brisbane,0,11,00,22,00
Grill'd - Wintergarden,AU,Brisbane,1,11,00,22,00
Grill'd - Wintergarden,AU,Brisbane,2,11,00,23,00
Grill'd - Wintergarden,AU,Brisbane,3,11,00,23,00
Grill'd - Wintergarden,AU,Brisbane,4,11,00,23,00
Grill'd - Wintergarden,AU,Brisbane,5,11,00,12,00
Grill'd - Wintergarden,AU,Brisbane,6,11,00,22,00
Grill'd,AU,Brisbane,0,11,00,22,00
Grill'd,AU,Brisbane,1,11,00,22,00
Grill'd,AU,Brisbane,2,11,00,22,00
Grill'd,AU,Brisbane,3,11,00,22,00
Grill'd,AU,Brisbane,4,11,00,00,00
Grill'd,AU,Brisbane,5,10,30,23,00
Grill'd,AU,Brisbane,6,10,30,22,00
Guzman Y Gomez,AU,Brisbane,0,10,00,17,00
Guzman Y Gomez,AU,Brisbane,1,10,00,17,00
Guzman Y Gomez,AU,Brisbane,2,10,00,17,00
Guzman Y Gomez,AU,Brisbane,3,10,00,17,00
Guzman Y Gomez,AU,Brisbane,4,10,00,21,00
Guzman Y Gomez,AU,Brisbane,5,10,00,17,00
Guzman Y Gomez,AU,Brisbane,6,10,00,17,00
